Title,Description,Tags,Subcategory,image_url,Host,link_primary
Skill Leap AI,"Practical guides on using AI tools to grow businesses and improve workflows, focusing on actionable steps.","[Business, Tutorials, Productivity, AI Tools]",[Education],https://unavatar.io/youtube/SkillLeapAI,Stas Vorobyov,https://www.youtube.com/@SkillLeapAI
Creator Magic,"Explores the latest AI tools with a specific focus on AI coding, agents, and no-code/low-code building.","[Coding, Agents, Replit, Cursor]","[Coding, Tools]",https://unavatar.io/youtube/CreatorMagicAI,Mike Russell,https://www.youtube.com/@CreatorMagicAI
Cole Medin,"Deep dives into AI agents, AI coding assistants, and the future of software development with hands-on tutorials.","[Coding, Agents, Software Engineering, LLMs]",[Coding],https://unavatar.io/youtube/ColeMedin,Cole Medin,https://www.youtube.com/@ColeMedin
Discover AI,"Explores the scientific frontiers of AI, focusing on research applications in industry, biomedicine, and global challenges.","[Science, Research, Future Tech, Explainers]","[News, Research]",https://unavatar.io/youtube/code4AI,,https://www.youtube.com/@code4AI
Julian Goldie SEO,"Strategies for using AI to build backlinks, boost website traffic, and rank #1 on Google using SEO automation.","[SEO, Marketing, Growth, Automation]",[SEO & Marketing],https://unavatar.io/youtube/JulianGoldieSEO,Julian Goldie,https://www.youtube.com/@JulianGoldieSEO
Futurepedia,"Reviews of useful AI products, tools, and skills to future-proof your life and business; associated with the Futurepedia directory.","[Tools, Reviews, News, Productivity]","[News, Tools]",https://unavatar.io/youtube/futurepedia_io,,https://www.youtube.com/@futurepedia_io
IBM Technology,"Educational content on big tech topics like AI, quantum computing, and cloud, tailored for a general business audience.","[Enterprise, Cloud, Technology, Education]","[Corporate, Education]",https://unavatar.io/youtube/IBMTechnology,Martin Keen & Team,https://www.youtube.com/@IBMTechnology
OpenAI,"Official updates, product demos (ChatGPT, Sora), and research news from the creators of GPT models.","[LLMs, ChatGPT, Research, AGI]","[Corporate, Research]",https://unavatar.io/youtube/OpenAI,,https://www.youtube.com/@OpenAI
NVIDIA,"Keynotes and updates on accelerated computing, GPUs, and the hardware infrastructure powering modern AI.","[Hardware, GPU, Enterprise, Keynotes]","[Corporate, Hardware]",https://unavatar.io/youtube/NVIDIA,,https://www.youtube.com/@NVIDIA
Google DeepMind,"Inside looks at cutting-edge AGI research, robotics, and scientific breakthroughs from Google's central AI lab.","[Research, Robotics, AGI, Science]","[Corporate, Research]",https://unavatar.io/youtube/googledeepmind,,https://www.youtube.com/@googledeepmind
Google,"Broad overview of Google's products and initiatives, including Gemini integrations and consumer tech announcements.","[Search, Consumer Tech, Gemini, Product]","[Corporate, News]",https://unavatar.io/youtube/Google,,https://www.youtube.com/@Google
Anthropic,Research and product updates from the AI safety company behind the Claude model family.,"[Safety, LLMs, Claude, Research]","[Corporate, Research]",https://unavatar.io/youtube/anthropic-ai,,https://www.youtube.com/@anthropic-ai
The AI Grid,"From the latest research and developments in machine learning and natural language processing, to practical applications and the ethical considerations surrounding AI, this channel is your go-to source for all things related to this exciting field. Subscribe now to stay up-to-date on the cutting-edge of AI and join the conversation about the future of intelligence.",[News],[News],https://unavatar.io/youtube/TheAiGrid,,https://www.youtube.com/@TheAiGrid
Matt Wolfe,"Breaking down the latest AI news, what it means, and how to actually use what's available to you.",[News],[News],https://unavatar.io/youtube/mreflow,Matt Wolfe,https://www.youtube.com/@mreflow
AI Explained,Covering the biggest news of the century - the arrival of smarter-than-human AI.,[News],[News],https://unavatar.io/youtube/aiexplained-official,,https://www.youtube.com/@aiexplained-official
Two minute papers,What a time to be alive,[News],[News],https://unavatar.io/youtube/TwoMinutePapers,Dr. Károly Zsolnai-Fehé,https://www.youtube.com/@TwoMinutePapers
Wes Roth,"Artificial Intelligence, AI, Machine Learning, Google DeepMind, OpenAI, ChatGPT, Anthropic, Tech, Coding, AI News, Large Language Models and... (most importantly)... optimism. ","[News, Interviews]","[News, Interviews]",https://unavatar.io/youtube/WesRoth,Wes Roth,https://www.youtube.com/@WesRoth
,"Features professors from the University of Nottingham explaining concepts like neural networks, genetic algorithms, and AI safety in a whiteboard styleComputerphile",[Education],[Education],https://unavatar.io/youtube/Computerphile,,https://www.youtube.com/@Computerphile
sentdex,"Python Programming tutorials, going further than just the basics. Learn about machine learning, finance, data analysis, robotics, web development, game development and more.","[Education, Coding]",[Coding],https://unavatar.io/youtube/sentdex,,https://www.youtube.com/@sentdex
DeepLearningAI,Welcome to the official DeepLearning.AI YouTube channel! Here you can find the videos from our Coursera programs on machine learning as well as recorded events.,"[Research,Education]","[Research,Education]",https://unavatar.io/youtube/Deeplearningai,,https://www.youtube.com/@Deeplearningai
Tech with Tim,"beginner-friendly tutorials on Python, Data Science, and Machine Learning projects","[Education, Coding]",[Coding],https://unavatar.io/youtube/TechWithTim,Tim R.,https://www.youtube.com/@TechWithTim
